feature,importance
route_JOGMEL,0.0001415311308987462
route_DELPER,0.0001412249931719866
route_MRUSZX,0.00014048061559430408
route_LOPOOL,0.0001403148068722028
booking_origin_Mauritius,0.0001402632642250883
route_PERRGN,0.00014013639862308388
route_CKGDPS,0.00013866655004166433
booking_origin_Nepal,0.00013658826498416993
route_OOLPVG,0.00013330575415736087
route_OOLSBW,0.00013143259762196796
route_KIXMAA,0.00013097389789883853
route_CMBHGH,0.00013067035473915645
route_CRKMEL,0.00013064018823918746
route_KTMSUB,0.0001298460104670146
route_CGKXIY,0.00012798473382607284
route_PERPUS,0.0001261978820313963
route_PUSSYD,0.00012602401265343185
route_MELNRT,0.00012428447167219203
route_DELSUB,0.00012410627854575566
route_CKGKCH,0.00012384048319190292
route_BWNSYD,0.00012337164628986285
route_GOIMEL,0.00011723427633828359
route_DMKKTM,0.00011712142912982146
route_CKGMRU,0.00011563011487845696
route_LGKMEL,0.00011559742080803731
route_DELJHB,0.00011518437122116856
route_CKGSIN,0.00011402013499863615
route_IKASIN,0.00011251072995624013
route_LPQPER,0.00011217444826543172
route_DELHND,0.00011186667902239426
route_CKGLGK,0.00011119905196963933
route_DACMEL,0.00011114412863910956
booking_origin_Norway,0.00011104496056877037
route_CANDEL,0.00011070640685484932
route_CTSMYY,0.00010991995170736209
route_LGKOOL,0.00010951365628499665
route_DMKIKA,0.00010940569406408851
route_BWNCKG,0.00010708350910180642
route_NRTSYD,0.00010650160490664335
route_MLETPE,0.00010599267421477865
route_KTMMEL,0.00010568973283303746
route_AORPUS,0.00010564415427852448
route_CMBHND,0.00010539164912312803
route_GOIKUL,0.00010454104573922514
route_SUBTPE,0.00010447295737434596
route_OOLSDK,0.0001039469291208667
route_PVGTGG,0.00010387478351788609
route_ICNVTZ,0.00010384122338271987
route_COKPUS,0.00010312843010297284
route_MLEPVG,0.00010293371090879631
route_CTUOOL,0.0001011337290702929
route_IKAPEN,0.00010056488995813641
route_BWNWUH,9.947654229741637e-05
route_LPQTPE,9.902558796174611e-05
booking_origin_Seychelles,9.870451864219336e-05
route_HDYMEL,9.867177478007153e-05
route_COKCTU,9.818215203628154e-05
route_AORPER,9.800327884311982e-05
booking_origin_Spain,9.66603749925103e-05
route_OOLURT,9.505062801170916e-05
route_GOIOOL,9.502430978105625e-05
route_DACPER,9.448654002904527e-05
route_REPSYD,9.273217435280392e-05
booking_origin_Mexico,9.252308500952631e-05
route_PERVTZ,9.232840593010362e-05
booking_origin_Greece,9.225247027480689e-05
route_CTUREP,9.206150000829097e-05
route_HDYPVG,9.128972651346922e-05
booking_origin_Vanuatu,9.016281197418198e-05
route_PENWUH,8.97757813863643e-05
route_HGHTWU,8.875151913951507e-05
route_DPSOOL,8.867695856401748e-05
route_AKLTPE,8.826879341615088e-05
route_DELSIN,8.800598316059285e-05
route_CTUMYY,8.77761276472583e-05
route_SDKTPE,8.747815376354806e-05
route_CKGMYY,8.733399194360499e-05
booking_origin_Romania,8.711088727310679e-05
route_PVGRGN,8.661010985310155e-05
route_KTMTGG,8.546898409721599e-05
route_TWUWUH,8.536848280995068e-05
route_MELMLE,8.524339594218797e-05
route_HGHTGG,8.505121644862876e-05
route_HANKTM,8.49925334349119e-05
route_SRGTPE,8.465913444681256e-05
route_AKLICN,8.350839420231493e-05
route_KIXTRZ,8.318220299029823e-05
route_CTUMAA,8.241670699596032e-05
route_GOIPER,8.222726314200601e-05
route_CTSHKT,8.210533476542664e-05
route_KTMURT,8.188352910723197e-05
booking_origin_Réunion,7.994601222052693e-05
route_CKGSUB,7.971713687746899e-05
route_CKGOOL,7.913648702203173e-05
route_CTSSBW,7.861415478206556e-05
route_HGHSIN,7.771863403100825e-05
route_SYDVTE,7.71894774431652e-05
route_CTUSBW,7.697479311036636e-05
route_TPETRZ,7.674397119043509e-05
route_KTMPER,7.66048713250059e-05
route_BDOPUS,7.583298406118086e-05
route_HGHLOP,7.561815670255941e-05
booking_origin_Kuwait,7.5479072051066e-05
route_SBWWUH,7.525322244626547e-05
route_PUSTRZ,7.500954723077678e-05
route_HDYKIX,7.403454706971906e-05
booking_origin_Belgium,7.38627257053577e-05
route_CKGKNO,7.298424130012049e-05
route_LOPSYD,7.209744414284663e-05
route_BWNDEL,7.134521797752695e-05
route_ICNSGN,7.122658144264529e-05
route_CGKCKG,7.110289656644249e-05
route_DELKBV,7.094400861347424e-05
route_MLEPER,7.093149553649593e-05
route_CKGPNH,6.982712570399475e-05
route_JHBWUH,6.950323224393456e-05
route_BKIDEL,6.943592411619945e-05
route_CGKIKA,6.842801114991206e-05
route_CTSJOG,6.791915534452674e-05
route_CTUTRZ,6.791254738489857e-05
route_JEDKNO,6.76744096083409e-05
route_PUSSBW,6.749639680067254e-05
route_BDOOOL,6.72235405260695e-05
route_CTUKNO,6.70991100225613e-05
route_PERTWU,6.709299406700689e-05
route_COKTPE,6.700829042559868e-05
route_JEDPEN,6.498050741517516e-05
route_HGHJHB,6.486843095315886e-05
booking_origin_Turkey,6.46274819480688e-05
route_HNDTRZ,6.439439050509202e-05
booking_origin_Kenya,6.431035008271019e-05
route_AKLPVG,6.297370009724437e-05
route_PERXIY,6.290581160198625e-05
booking_origin_Iraq,6.2712291225646e-05
route_MYYXIY,6.17361574765378e-05
route_ICNTRZ,6.0999880110577214e-05
booking_origin_Qatar,5.974026885469989e-05
booking_origin_Portugal,5.940154791573362e-05
route_HGHPER,5.891018016913771e-05
route_DPSMRU,5.767884436352773e-05
route_OOLTWU,5.744330209880741e-05
route_KBRKTM,5.638951789524857e-05
route_OOLUTP,5.633986755784998e-05
route_CTSKBR,5.5557974208060424e-05
route_CTUSGN,5.52337047666496e-05
route_CTUMLE,5.468399842522341e-05
route_LGKWUH,5.28375168683976e-05
booking_origin_Chile,5.265654498375069e-05
route_HGHMRU,5.1880803900243314e-05
route_IKASYD,4.912764090966038e-05
route_IKAMNL,4.902173012447205e-05
route_RGNTPE,4.900981782894147e-05
route_CMBICN,4.839152965082893e-05
route_CKGSGN,4.686874680975679e-05
route_TRZWUH,4.648837284823278e-05
route_CKGSBW,4.544961024638429e-05
route_KBVSYD,4.4220341520874555e-05
route_IKAOOL,4.372828410567029e-05
route_CNXICN,4.360299109999995e-05
route_PERSIN,4.352555862306172e-05
route_JEDSUB,4.3125835119944645e-05
route_DELKNO,4.27164325545535e-05
route_BDOPEK,4.0895683687357956e-05
